,class_index,avg_acc,multi_rate,count,acc_sum,multi_num
0,epoch_0,,,,,
1,-20,0.0,0.0,50,0.0,0
2,-19,0.0,0.0,50,0.0,0
3,-18,0.0,0.0,50,0.0,0
4,-17,0.0,0.0,50,0.0,0
5,-16,0.0,0.0,50,0.0,0
6,-15,0.0,0.0,50,0.0,0
7,-14,0.0,0.0,50,0.0,0
8,-13,0.0,0.0,50,0.0,0
9,-12,0.0,0.0,50,0.0,0
10,-11,0.0,0.0,50,0.0,0
11,-10,0.0,0.0,50,0.0,0
12,-9,0.0,0.0,50,0.0,0
13,-8,0.34,0.0,50,17.0,0
14,-7,0.04,0.0,50,2.0,0
15,-6,0.7,0.0,50,35.0,0
16,-5,0.14,0.0,50,7.0,0
17,-4,0.22,0.0,50,11.0,0
18,-3,0.0,0.0,50,0.0,0
19,-2,0.32,0.0,50,16.0,0
20,8,0.0,0.0,50,0.0,0
21,13,0.0,0.0,50,0.0,0
22,48,0.0,0.0,50,0.0,0
23,58,0.0,0.0,50,0.0,0
24,90,0.0,0.0,50,0.0,0
